,x,y = f(x),,x*,y*
0,2,1.91933,,4.35,-11.5
1,2.127,1.47912,,,
2,2.254,1.0654,,,
3,2.381,0.68632,,,
4,2.508,0.34951,,,
5,2.635,0.06141,,,
6,2.762,-0.17236,,,
7,2.889,-0.34745,,,
8,3.016,-0.46072,,,
9,3.143,-0.51017,,,
10,3.27,-0.4952,,,
11,3.397,-0.41652,,,
12,3.524,-0.2761,,,
13,3.651,-0.07702,,,
14,3.778,0.17621,,,
15,3.905,0.47814,,,
16,4.032,0.8221,,,
17,4.159,1.20055,,,
18,4.286,1.60526,,,
19,4.413,2.02706,,,
20,4.54,2.4566,,,
21,4.667,2.88369,,,
22,4.794,3.29844,,,
23,4.921,3.69048,,,
24,5.048,4.04966,,,
25,5.175,4.36618,,,
26,5.302,4.63064,,,
27,5.429,4.83418,,,
28,5.556,4.96876,,,
29,5.683,5.02692,,,
30,5.81,5.0026,,,
31,5.937,4.89047,,,
32,6.064,4.68641,,,
33,6.191,4.38754,,,
34,6.318,3.99246,,,
35,6.445,3.50072,,,
36,6.572,2.91342,,,
37,6.699,2.23269,,,
38,6.826,1.46217,,,
39,6.953,0.60659,,,
40,7.08,-0.32824,,,
41,7.207,-1.33544,,,
42,7.334,-2.4074,,,
43,7.461,-3.5355,,,
44,7.588,-4.71049,,,
45,7.715,-5.92288,,,
46,7.842,-7.16253,,,
47,7.969,-8.41927,,,
48,8.096,-9.6829,,,
49,8.223,-10.94336,,,
50,8.35,-12.1908,,,
51,8.477,-13.41621,,,
52,8.604,-14.61062,,,
53,8.731,-15.7663,,,
54,8.858,-16.8762,,,
55,8.985,-17.93426,,,
56,9.112,-18.93567,,,
57,9.239,-19.87649,,,
58,9.366,-20.75433,,,
59,9.493,-21.56782,,,
60,9.62,-22.31714,,,
61,9.747,-23.0036,,,
62,9.874,-23.6298,,,
63,10.001,-24.1996,,,
64,10.128,-24.71799,,,
